BLUEPRINT_ID	Group	Sub-group	Sex	Cell type	Disease	URL
S00YAM11	venous blood	mesenchymal stem cell of the bone marrow	Unknown	mesenchymal stem cell of the bone marrow	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S00YAM/mesenchymal_stem_cell_of_the_bone_marrow/RNA-Seq/MPIMG/S00YAM11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S014QS11	venous blood	central memory CD4-positive, alpha-beta T cell	Male	central memory CD4-positive, alpha-beta T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S014QS/central_memory_CD4-positive_alpha-beta_T_cell/RNA-Seq/MPIMG/S014QS11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S014QS12	venous blood	effector memory CD4-positive, alpha-beta T cell	Male	effector memory CD4-positive, alpha-beta T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S014QS/effector_memory_CD4-positive_alpha-beta_T_cell/RNA-Seq/MPIMG/S014QS12.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S014TM11	venous blood	effector memory CD8-positive, alpha-beta T cell	Unknown	effector memory CD8-positive, alpha-beta T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S014TM/effector_memory_CD8-positive_alpha-beta_T_cell/RNA-Seq/MPIMG/S014TM11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S01BJE11	venous blood	monocyte	Unknown	monocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S01BJE/monocyte/RNA-Seq/MPIMG/S01BJE11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S01BKC11	venous blood	monocyte	Unknown	monocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S01BKC/monocyte/RNA-Seq/MPIMG/S01BKC11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S01GU911	venous blood	adult endothelial progenitor cell	Unknown	adult endothelial progenitor cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S01GU9/adult_endothelial_progenitor_cell/RNA-Seq/MPIMG/S01GU911.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S01H8C11	venous blood	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	Male	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S01H8C/effector_memory_CD8-positive_alpha-beta_T_cell_terminally_differentiated/RNA-Seq/MPIMG/S01H8C11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S016MS11	venous blood	T-cell Prolymphocytic Leukemia	Female	NA	T-cell Prolymphocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/TA37/T-cell_Prolymphocytic_Leukemia/RNA-Seq/MPIMG/S016MS11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00D1D11	venous blood	Acute Myeloid Leukemia	Female	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00002/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S00D1D11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00CWT11	venous blood	Acute Myeloid Leukemia	Female	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00003/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S00CWT11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00D4711	venous blood	Acute Myeloid Leukemia	Male	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00004/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S00D4711.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00D2B11	venous blood	Acute Myeloid Leukemia	Female	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00005/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S00D2B11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00D5511	venous blood	Acute Myeloid Leukemia	Male	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00006/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S00D5511.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00D3911	venous blood	Acute Myeloid Leukemia	Female	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00008/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S00D3911.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S013SS11	venous blood	Acute Myeloid Leukemia	Female	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00009/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S013SS11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S013RU11	venous blood	Acute Myeloid Leukemia	Female	peripheral blood mononuclear cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00010/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S013RU11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S013PY11	venous blood	Acute Myeloid Leukemia	Female	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00016/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S013PY11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00Y1311	venous blood	Acute Myeloid Leukemia	Male	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00019/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S00Y1311.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00Y4Y11	venous blood	Acute Myeloid Leukemia	Female	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00021/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S00Y4Y11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00Y0511	venous blood	Acute Myeloid Leukemia	Female	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00023/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S00Y0511.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00XUN11	venous blood	Acute Myeloid Leukemia	Male	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00024/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S00XUN11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00XVL11	venous blood	Acute Myeloid Leukemia	Male	peripheral blood mononuclear cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00025/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S00XVL11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00XWJ11	venous blood	Acute Myeloid Leukemia	Female	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00026/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S00XWJ11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00Y6U11	venous blood	Acute Myeloid Leukemia	Female	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00028/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S00Y6U11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00XYF11	venous blood	Acute Myeloid Leukemia	Male	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00029/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S00XYF11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S016KW11	venous blood	T-cell Prolymphocytic Leukemia	Male	NA	T-cell Prolymphocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/WR27/T-cell_Prolymphocytic_Leukemia/RNA-Seq/MPIMG/S016KW11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
